strategy,entry_time,exit_time,direction,entry,exit,result,risk_used,pnl,capital,streak
U2. Momentum Score,2026-04-09 17:00:00+00:00,2026-04-09 17:25:00+00:00,long,72271.95,72272.56,BE 〰,0.9248,0.0,92.4845,1
U2. Momentum Score,2026-04-09 18:30:00+00:00,2026-04-09 18:35:00+00:00,short,71774.89,71891.49,SL ❌,0.9248,-0.9248,91.5597,-1
U2. Momentum Score,2026-04-09 19:10:00+00:00,2026-04-09 19:20:00+00:00,long,72008.44,71799.42,SL ❌,0.9156,-0.9156,90.6441,-2
U2. Momentum Score,2026-04-09 19:40:00+00:00,2026-04-09 20:15:00+00:00,long,72086.08,72266.41,TP ✅,0.4532,1.1331,91.7771,1
U2. Momentum Score,2026-04-10 08:45:00+00:00,2026-04-10 09:05:00+00:00,short,71576.84,71685.79,SL ❌,0.9178,-0.9178,90.8594,-1
U2. Momentum Score,2026-04-10 10:35:00+00:00,2026-04-10 10:40:00+00:00,short,71748.48,71811.95,SL ❌,0.9086,-0.9086,89.9508,-2
U2. Momentum Score,2026-04-10 12:30:00+00:00,2026-04-10 12:35:00+00:00,long,72354.94,72234.23,SL ❌,0.4498,-0.4498,89.501,-3
U2. Momentum Score,2026-04-10 13:55:00+00:00,2026-04-10 14:10:00+00:00,long,72353.12,72703.45,TP ✅,0.4475,1.1188,90.6198,1
U2. Momentum Score,2026-04-10 16:45:00+00:00,2026-04-10 16:55:00+00:00,long,72792.77,73034.77,TP ✅,0.9062,2.2655,92.8853,2
U2. Momentum Score,2026-04-10 19:55:00+00:00,2026-04-10 20:35:00+00:00,long,73234.45,73109.27,SL ❌,1.3933,-1.3933,91.492,-1
U2. Momentum Score,2026-04-11 08:35:00+00:00,2026-04-11 08:45:00+00:00,short,72735.49,72770.07,SL ❌,0.9149,-0.9149,90.5771,-2
U2. Momentum Score,2026-04-11 09:20:00+00:00,2026-04-11 09:30:00+00:00,long,72903.59,72853.52,SL ❌,0.4529,-0.4529,90.1242,-3
U2. Momentum Score,2026-04-11 11:05:00+00:00,2026-04-11 11:25:00+00:00,long,72914.4,72880.64,SL ❌,0.4506,-0.4506,89.6736,-4
U2. Momentum Score,2026-04-11 11:50:00+00:00,2026-04-11 12:05:00+00:00,long,72911.15,72964.66,TP ✅,0.4484,1.1209,90.7945,1
U2. Momentum Score,2026-04-11 12:35:00+00:00,2026-04-11 13:00:00+00:00,long,72926.66,72847.79,SL ❌,0.9079,-0.9079,89.8866,-1
U2. Momentum Score,2026-04-11 13:05:00+00:00,2026-04-11 13:10:00+00:00,short,72782.58,72594.53,TP ✅,0.8989,2.2472,92.1337,1
